NU_CNPB_PLANO_DA;SG_PLANO_DA;NM_SITUACAO_PLANO_DA;NM_CARACTERISTICA;NM_MODALIDADE;NM_LEGISLACAO;NU_DURATION_MESES;TE_OBSERVACAO_DURATION;CS_MOTIVO;TIPO;CS_SITUACAO;DT_AVALIACAO;DT_CADASTRO;TE_OBSERVACOES;TE_RELATORIOS;IN_PATRIMONIO_GRUPO;VL_PATRIMONIO_COBERTURA;VL_INSUFICIENC_COBERTURA;DT_TRANSMISSAO;ID_RETIFICADA;NM_ATUARIO;NU_REGISTRO_MIBA;NU_REGISTRO_MTE;NM_EMPRESA_EXTERNA;NM_PLANO_DA;SG_EFPC_DA;NU_CNPJ_EFPC_DA;NM_RAZAO_SOCIAL_EFPC_DA;NU_MATRICULA_EFPC
2011002419;ABEPOM PREVIDÊNCIA;ATIVO;Instituído;Contribuição Definida;LC 109;243;Prazo médio de recebimento do benefício estimado em 15 anos além do tempo de acumulação ;1;Simplificada;2;2023-12-31 00:00:00.0000000;2023-12-31 00:00:00.0000000;;NULL;1;11073085.61;NULL;2024-01-25 00:00:00.0000000;NULL;RITA PASQUAL ANZOLIN;822;MIBA 822;ATUAPREV CONSULTORIA ATUARIAL LTDA;PLANO DE BENEFÍCIOS PREVIDENCIÁRIOS DOS MILITARES ESTADUAIS ¿ PLANO ABEPOM PREVIDÊNCIA;MAIS FUTURO;7,13645E+12;FUNDO DE PREVIDENCIA MAIS FUTURO;4221
2006004247;PLANO ACPREV;ATIVO;Instituído;Contribuição Definida;LC 109;198;Prazo médio de recebimento do benefício estimado em 15 anos além do tempo de acumulação;1;Simplificada;2;2023-12-31 00:00:00.0000000;2023-12-31 00:00:00.0000000;;NULL;1;42022728.81;NULL;2024-01-25 00:00:00.0000000;NULL;RITA PASQUAL ANZOLIN;822;MIBA 822;ATUAPREV CONSULTORIA ATUARIAL LTDA;PLANO DE BENEFÍCIOS ACPREV;MAIS FUTURO;7,13645E+12;FUNDO DE PREVIDENCIA MAIS FUTURO;4221
2012001629;PLANO DENTALUNIPREV;ATIVO;Instituído;Contribuição Definida;LC 109;211;Duração dos benefícios estimado em 15 anos além do tempo de acumulação ;1;Simplificada;2;2023-12-31 00:00:00.0000000;2023-12-31 00:00:00.0000000;;NULL;1;19453141.83;NULL;2024-01-25 00:00:00.0000000;NULL;RITA PASQUAL ANZOLIN;822;MIBA 822;ATUAPREV CONSULTORIA ATUARIAL LTDA;PLANO DE BENEFÍCIOS DENTALUNIPREV;MAIS FUTURO;7,13645E+12;FUNDO DE PREVIDENCIA MAIS FUTURO;4221
2012001874;MAIS FUTURO(FAMÍLIA);ATIVO;Instituído;Contribuição Definida;LC 109;213;Prazo médio de recebimento do benefício estimado em 15 anos além do tempo de acumulação;1;Simplificada;2;2023-12-31 00:00:00.0000000;2023-12-31 00:00:00.0000000;;NULL;1;73142694.75;NULL;2024-01-25 00:00:00.0000000;NULL;RITA PASQUAL ANZOLIN;822;MIBA 822;ATUAPREV CONSULTORIA ATUARIAL LTDA;PLANO COOPERATIVO DE PREVIDÊNCIA MAIS FUTURO;MAIS FUTURO;7,13645E+12;FUNDO DE PREVIDENCIA MAIS FUTURO;4221
2015001883;COPANPREV;ATIVO;Instituído;Contribuição Definida;LC 109;246;Prazo médio de recebimento do benefício estimado em 15 anos, mais tempo médio de acumulação;1;Simplificada;2;2023-12-31 00:00:00.0000000;2023-12-31 00:00:00.0000000;;NULL;1;7073008.03;NULL;2024-01-25 00:00:00.0000000;NULL;RITA PASQUAL ANZOLIN;822;MIBA 822;ATUAPREV CONSULTORIA ATUARIAL LTDA;PLANO DE BENEFÍCIOS COPANPREV;MAIS FUTURO;7,13645E+12;FUNDO DE PREVIDENCIA MAIS FUTURO;4221
2005000892;PLANO JMALUCELLI;ATIVO;Patrocinado;Contribuição Definida;LC 109;225;Prazo médio de recebimento do benefício de 15 anos ;1;Simplificada;2;2023-12-31 00:00:00.0000000;2023-12-31 00:00:00.0000000;;NULL;1;46963551.25;NULL;2024-01-25 00:00:00.0000000;NULL;RITA PASQUAL ANZOLIN;822;MIBA 822;ATUAPREV CONSULTORIA ATUARIAL LTDA;PLANO DE BENEFÍCIOS JMALUCELLI;MAIS FUTURO;7,13645E+12;FUNDO DE PREVIDENCIA MAIS FUTURO;4221
2018000365;FAMÍLIA CERES (FAMÍLIA);ATIVO;Instituído;Contribuição Definida;LC 109;120;A duracao do passivo foi calculada conforme metodologia descrita na Resolucao CNPC n 30/2018 e Resolucao Previc n 23/2023, calculada pelo sistema Venturo, considerando o fluxo de beneficios posicionado em 31/12/2023.;1;Completa;2;2023-12-31 00:00:00.0000000;2023-10-31 00:00:00.0000000;0;NULL;1;33957467.83;0.00;2024-02-22 00:00:00.0000000;NULL;ANTONIO MARIO RATTES DE OLIVEIRA;1162;1162;todo;FAMÍLIA CERES;CERES;5,32804E+11;CERES - FUNDACAO DE SEGURIDADE SOCIAL;237
1979000174;PRV;ATIVO;Patrocinado;Benefício Definido;LC 108/109;114;O período da duration do passivo apurada conforme a Resolução Previc nº 23, de 14/08/2023, foi de 114 meses (9,50 anos), correspondendo ao período de 2024 a 2034, sendo o mais relevante para balizar as operações identificadas pelo monitoramento.;1;Completa;2;2023-12-31 00:00:00.0000000;2023-12-31 00:00:00.0000000;;NULL;1;1143243978.71;-17939586.86;2024-03-01 00:00:00.0000000;NULL;SERGIO MENDES DE AZEVEDO TINOCO;305;305;todo;PLANO DE RENDA VINCULADA - PRV;PREVDATA;3,02581E+13;SOCIEDADE DE PREV. COMPLEMENTAR DA DATAPREV - PREVDATA;1715
1971000256;PLENUS;ATIVO;Patrocinado;Benefício Definido;LC 109;103;sem comentários;1;Completa;2;2023-12-31 00:00:00.0000000;2023-12-31 00:00:00.0000000;sem justificativa;NULL;1;572971534.14;-60518196.81;2024-03-05 00:00:00.0000000;NULL;ANDREA VANZILLOTA;1000;1000;todo;PLANO DE BENEFÍCIOS PLENUS;PREVHAB;4,21746E+13;PREVHAB PREVIDENCIA COMPLEMENTAR;727
2013000911;ABDI-FLEXCERES;ATIVO;Patrocinado;Contribuição Definida;LC 109;206;A duracao do passivo foi calculada conforme metodologia descrita na Resolucao CNPC n 30/2018 e Resolucao Previc n 23/2023, calculada pelo sistema Venturo, considerando o fluxo de beneficios posicionado em 31/12/2023.;1;Completa;2;2023-12-31 00:00:00.0000000;2023-10-31 00:00:00.0000000;;NULL;1;21841943.85;0.00;2024-03-06 00:00:00.0000000;NULL;ANTONIO MARIO RATTES DE OLIVEIRA;1162;1162;todo;PLANO DE BENEFÍCIOS ABDI-FLEXCERES;CERES;5,32804E+11;CERES - FUNDACAO DE SEGURIDADE SOCIAL;237
