ID_GRUPO_CUSTEIO_DA;ID_GRUPO_CUSTEIO;NU_MATRICULA_EFPC;ID_DEMONSTRACAO_ATUARIAL;NU_CNPB_PLANO_DA;QT_PARTICIPANTES_ATIVOS;VL_FOLHA_SALARIO;QT_MESES_CONTRIBUICAO;QT_MESES_APOSENTADORIA;NU_GRUPO_CUSTEIO;NM_GRUPO_CUSTEIO
30486;1;1781;2677587;1980000174;3786;780248484.1;389;12;1;Plano 1
30120;21;1781;2659403;1904000118;124766;0;0;0;1;CARTEIRA DE PECÚLIOS
30844;41;1991;2686263;1980000565;1500;204016021;214;103;1;Rhodia
31160;48;1256;2710669;2009001265;1931;94973274.63;100;217;1;MM COFAP
30042;50;1393;2653404;1999005147;376;40188936.06;312;45;1;Grupo único
30933;51;1781;2688806;1998003574;79870;9621906417;168;92;1;PREVI FUTURO
30075;61;4581;2655937;1999000919;17939;1757000833;136;177;1;Geral
30338;62;223;2672422;1980000492;0;0;0;0;1;PBB
31043;82;1911;2692124;2000006183;3660;213129946.3;96;101;1;FIESCPREV
30087;87;3678;2656165;1999002083;62;9266485.55;226;83;1;PreviCIERGS - BD
30712;88;3678;2684881;2010001818;6;590207.28;108;136;1;SIMECSPREVI
31090;89;1674;2694805;1989002056;166;32959445;8;241;1;Todos
31129;90;1911;2697282;2007001292;793;4210346.27;64;248;1;SISTEMA FIEMT
30000;91;2107;2615041;1980001138;18;127569.96;537;1;1;Aux. Aposentadoria
30820;101;2316;2685209;1979000719;9;777959.91;333;0;1;GRUPO CONAB
30183;102;571;2662215;1988001218;1331;283225784.4;142;180;1;1
30874;103;237;2686737;1979000492;2362;29455711.71;363;80;1;Embrapa Básico
30569;104;4203;2682962;2000001556;46;1095916.12;382;25;1;PBS TELEMAR
30200;121;552;2662443;1979002665;4;532503.27;466;0;1;Único
30201;122;552;2662445;2002000638;1981;246480086.8;213;172;1;Único
30202;123;552;2662447;2002004692;160;36216654.63;231;127;1;Único
30596;126;1381;2683024;1980002411;50;1789417.24;408;7;1;Único
30059;135;1715;2654677;1979000174;910;160871572.3;372;36;1;PRV
30888;139;3558;2688301;1996003992;819;79187820.14;172;144;1;Grupo único
30680;148;998;2683143;1988001129;0;0;0;0;1;Benefícios
30684;150;998;2683147;1998006638;6996;788552662.8;137;129;1;PCV I
30230;151;3161;2664456;1994004118;268;34969247.56;318;24;1;BENEFÍCIO DEFINIDO
30231;152;3161;2664458;2005005111;687;60817197.35;122;156;1;CONTRIB. VARIÁVEL
30973;153;93;2689255;2000002374;0;0;0;0;1;Santander
30639;159;3188;2682875;2004002174;112874;0;48;247;1;TECNOPREV
30222;160;1688;2662715;1979002274;2744;430819533.8;187;162;1;PBB
30281;161;2395;2668536;1994001811;6224;617397950;91;206;1;Único
